find_all,Array,Emma
untrust,Array,Julie
flatten,Array,Julie
trust,Array,Julie
combination,Array,Julie
repeated_combination,Array,Julie
insert,Array,Julie
==,Array,Julie
delete_if,Array,Julie
inspect,Array,Joey
*,Array,Joey
remove_instance_variable,Array,Joey
include?,Array,Joey
lazy,Array,Joey
collect!,Array,Joey
one?,Array,Joey
shift,Array,Joey
repeated_permutation,Array,Steve
respond_to?,Array,Steve
join,Array,Steve
__id__,Array,Steve
find_index,Array,Steve
&,Array,Steve
slice_before,Array,Steve
bsearch,Array,Steve
remove_instance_variable,Hash,Alex
equal?,Hash,Alex
map,Hash,Alex
rassoc,Hash,Alex
any?,Hash,Alex
detect,Hash,Alex
methods,Hash,Alex
!~,Hash,Sroop
===,Hash,Sroop
values,Hash,Sroop
key?,Hash,Sroop
object_id,Hash,Sroop
keys,Hash,Sroop
instance_of?,Hash,Sroop
[]=,Hash,Shelly
reject,Hash,Shelly
[],Hash,Shelly
select,Hash,Shelly
respond_to?,Hash,Shelly
find,Hash,Shelly
freeze,Hash,Shelly
has_value?,Hash,Scott
collect,Hash,Scott
untrusted?,Hash,Scott
instance_variable_set,Hash,Scott
reduce,Hash,Scott
collect_concat,Hash,Scott
cycle,Hash,Scott
replace,Hash,Estefania
max_by,Hash,Estefania
max,Hash,Estefania
delete,Hash,Estefania
to_hash,Hash,Estefania
all?,Hash,Estefania
sort_by,Hash,Estefania
minmax_by,Hash,Appo
include?,Hash,Appo
keep_if,Hash,Appo
class,Hash,Appo
=~,Hash,Appo
instance_eval,Hash,Appo
empty?,Hash,Appo
hash,Hash,Rob
rehash,Hash,Rob
is_a?,Hash,Rob
to_enum,Hash,Rob
flat_map,Hash,Rob
select!,Hash,Rob
each_entry,Hash,Rob
has_key?,Hash,Nico
min,Hash,Nico
assoc,Hash,Nico
dup,Hash,Nico
inject,Hash,Nico
untaint,Hash,Nico
invert,Hash,Nico
__send__,Hash,Dan
default,Hash,Dan
merge!,Hash,Dan
tap,Hash,Dan
taint,Hash,Dan
to_h,Hash,Dan
flatten,Hash,Dan
take_while,Hash,Robin
find_index,Hash,Robin
zip,Hash,Robin
==,Hash,Robin
entries,Hash,Robin
one?,Hash,Robin
eql?,Hash,Robin
member?,Hash,Josh
send,Hash,Josh
default_proc=,Hash,Josh
to_s,Hash,Josh
extend,Hash,Josh
lazy,Hash,Josh
delete_if,Hash,Josh
value?,Hash,Louise
first,Hash,Louise
each_with_index,Hash,Louise
!=,Hash,Louise
length,Hash,Louise
private_methods,Hash,Louise
default=,Hash,Louise
take,Hash,Muhanad
define_singleton_method,Hash,Muhanad
public_send,Hash,Muhanad
default_proc,Hash,Muhanad
sort,Hash,Muhanad
inspect,Hash,Muhanad
size,Hash,Muhanad
trust,Hash,Will
store,Hash,Will
none?,Hash,Will
chunk,Hash,Will
group_by,Hash,Will
tainted?,Hash,Will
partition,Hash,Will
reverse_each,Hash,Oli
key,Hash,Oli
untrust,Hash,Oli
count,Hash,Oli
compare_by_identity,Hash,Oli
public_method,Hash,Oli
grep,Hash,Oli
slice_before,Hash,Emma
clone,Hash,Emma
min_by,Hash,Emma
public_methods,Hash,Emma
method,Hash,Emma
<=>,Hash,Emma
index,Hash,Emma
!,Hash,Julie
each_cons,Hash,Julie
each,Hash,Julie
reject!,Hash,Julie
singleton_methods,Hash,Julie
instance_variable_get,Hash,Julie
enum_for,Hash,Julie
update,Hash,Joey
frozen?,Hash,Joey
each_with_object,Hash,Joey
shift,Hash,Joey
values_at,Hash,Joey
clear,Hash,Joey
each_value,Hash,Joey
compare_by_identity?,Hash,Steve
each_key,Hash,Steve
drop_while,Hash,Steve
each_pair,Hash,Steve
nil?,Hash,Steve
find_all,Hash,Steve
minmax,Hash,Steve
!=,String,Alex
singleton_class,String,Alex
to_r,String,Alex
sub!,String,Alex
extend,String,Alex
instance_variable_set,String,Alex
end_with?,String,Alex
instance_variable_get,String,Alex
setbyte,String,Sroop
kind_of?,String,Sroop
chop!,String,Sroop
oct,String,Sroop
taint,String,Sroop
squeeze,String,Sroop
empty?,String,Sroop
reverse!,String,Sroop
ascii_only?,String,Shelly
*,String,Shelly
!,String,Shelly
chop,String,Shelly
public_methods,String,Shelly
split,String,Shelly
clone,String,Shelly
equal?,String,Shelly
frozen?,String,Scott
b,String,Scott
ljust,String,Scott
gsub!,String,Scott
strip!,String,Scott
to_c,String,Scott
bytesize,String,Scott
getbyte,String,Scott
<<,String,Estefania
to_s,String,Estefania
<=>,String,Estefania
!~,String,Estefania
intern,String,Estefania
freeze,String,Estefania
hex,String,Estefania
__send__,String,Estefania
public_send,String,Appo
upcase!,String,Appo
insert,String,Appo
next,String,Appo
define_singleton_method,String,Appo
sum,String,Appo
slice,String,Appo
rindex,String,Appo
>=,String,Rob
singleton_methods,String,Rob
delete,String,Rob
=~,String,Rob
respond_to?,String,Rob
untrusted?,String,Rob
delete!,String,Rob
untrust,String,Rob
chars,String,Nico
hash,String,Nico
[]=,String,Nico
chr,String,Nico
prepend,String,Nico
size,String,Nico
to_f,String,Nico
force_encoding,String,Nico
rstrip,String,Dan
public_method,String,Dan
upcase,String,Dan
+,String,Dan
trust,String,Dan
==,String,Dan
replace,String,Dan
tr_s,String,Dan
chomp!,String,Robin
instance_eval,String,Robin
center,String,Robin
<=,String,Robin
between?,String,Robin
remove_instance_variable,String,Robin
enum_for,String,Robin
to_sym,String,Robin
<,String,Josh
encoding,String,Josh
instance_variable_defined?,String,Josh
private_methods,String,Josh
clear,String,Josh
crypt,String,Josh
index,String,Josh
>,String,Josh
concat,String,Louise
squeeze!,String,Louise
dump,String,Louise
byteslice,String,Louise
method,String,Louise
slice!,String,Louise
encode,String,Louise
[],String,Louise
tainted?,String,Muhanad
tr!,String,Muhanad
encode!,String,Muhanad
parse_csv,String,Muhanad
untaint,String,Muhanad
downcase!,String,Muhanad
to_enum,String,Muhanad
instance_exec,String,Muhanad
ord,String,Will
===,String,Will
to_str,String,Will
swapcase,String,Will
bytes,String,Will
swapcase!,String,Will
succ!,String,Will
tap,String,Will
each_byte,String,Oli
instance_of?,String,Oli
rpartition,String,Oli
rjust,String,Oli
length,String,Oli
instance_variables,String,Oli
send,String,Oli
capitalize!,String,Oli
nil?,String,Emma
strip,String,Emma
downcase,String,Emma
sub,String,Emma
each_char,String,Emma
%,String,Emma
__id__,String,Emma
dup,String,Emma
succ,String,Julie
lstrip!,String,Julie
lstrip,String,Julie
capitalize,String,Julie
protected_methods,String,Julie
start_with?,String,Julie
valid_encoding?,String,Julie
upto,String,Julie
class,String,Joey
eql?,String,Joey
match,String,Joey
reverse,String,Joey
gsub,String,Joey
codepoints,String,Joey
methods,String,Joey
include?,String,Joey
rstrip!,String,Steve
object_id,String,Steve
is_a?,String,Steve
inspect,String,Steve
tr,String,Steve
unpack,String,Steve
scan,String,Steve
to_i,String,Steve
